panel_entity,category,normalized_indicator,n_observations,first_year,last_year,n_periods,n_source_files,example_label
debt_domestic_debt_amortization_of_government_bonds,Debt,domestic_debt,7,2022,2024,4,7,إطفاء سندات حكومية | Amortization of Government Bonds
debt_domestic_debt_beginning_of_period_balance,Debt,domestic_debt,8,2022,2024,4,8,الرصيد أول الفترة | Beginning of Period Balance
debt_domestic_debt_end_of_period_balance,Debt,domestic_debt,12,2022,2024,5,13,الرصيد آخر الفترة | End of Period Balance
debt_domestic_debt_financing_from_domestic_borrowing,Debt,domestic_debt,9,2022,2023,5,9,تمويل من الدين الداخلي | Financing from Domestic Borrowing
debt_domestic_debt_issuances_or_borrowings,Debt,domestic_debt,12,2022,2024,5,13,الإصدارات أو الاقتراض | Issuances or Borrowings
debt_domestic_debt_principal_repayment,Debt,domestic_debt,12,2022,2024,5,13,سداد أصل الدين | Principal Repayment
debt_domestic_debt_unlabeled_row,Debt,domestic_debt,8,2022,2024,4,8,Unlabeled row
debt_external_debt_amortization_of_government_bonds,Debt,external_debt,3,2022,2024,2,3,إطفاء سندات حكومية | Amortization of Government Bonds
debt_external_debt_end_of_period_balance,Debt,external_debt,12,2022,2024,5,12,الرصيد آخر الفترة | End of Period Balance
debt_external_debt_financing_from_external_borrowing,Debt,external_debt,9,2022,2023,5,11,تمويل من الدين الخارجي | Financing from External Borrowing
debt_external_debt_issuances_or_borrowings,Debt,external_debt,10,2022,2024,5,10,الإصدارات أو الاقتراض | Issuances or Borrowings
debt_external_debt_principal_repayment,Debt,external_debt,11,2022,2024,5,11,سداد أصل الدين | Principal Repayment
debt_external_debt_unlabeled_row,Debt,external_debt,8,2022,2024,4,8,Unlabeled row
debt_public_debt_unlabeled_row,Debt,public_debt,7,2022,2024,4,7,Unlabeled row
expenditure_total_expenditure_102819_40924245001_education,Expenditure,total_expenditure,2,2024,2024,2,2,التعليم | 102819.40924245001 | Education
expenditure_total_expenditure_103232_80316220001_general_items,Expenditure,total_expenditure,2,2024,2024,2,2,البنود العامة | 103232.80316220001 | General Items
expenditure_total_expenditure_105119_87979830823_military,Expenditure,total_expenditure,1,2023,2023,1,1,العسكري | 105119.87979830823 | Military
expenditure_total_expenditure_111248_4252618625_military,Expenditure,total_expenditure,2,2024,2024,2,2,العسكري | 111248.4252618625 | Military
